tStep	sim_time	part_diameter	part_height
768	769	5.40405	5.48096
769	770	5.40762	5.48483
770	771	5.41119	5.48868
771	772	5.41476	5.49253
772	773	5.41831	5.49637
773	774	5.42186	5.5002
774	775	5.42539	5.50402
775	776	5.42892	5.50782
776	777	5.43244	5.51162
777	778	5.43595	5.51541
778	779	5.43945	5.51919
779	780	5.44294	5.52296
780	781	5.44642	5.52672
781	782	5.4499	5.53047
782	783	5.45336	5.53421
783	784	5.45682	5.53794
784	785	5.46027	5.54167
785	786	5.46372	5.54539
786	787	5.46717	5.54911
787	788	5.47061	5.55282
788	789	5.47405	5.55653
789	790	5.47749	5.56024
790	791	5.48092	5.56394
791	792	5.48435	5.56763
792	793	5.48773	5.57126
793	794	5.4911	5.57488
794	795	5.49447	5.5785
795	796	5.49784	5.58211
796	797	5.50121	5.58572
797	798	5.5049	5.58961
798	799	5.50856	5.59347
799	800	5.5122	5.5973
800	801	5.51581	5.60111
801	802	5.5194	5.60489
802	803	5.52297	5.60865
803	804	5.52698	5.61291
804	805	5.53093	5.61712
805	806	5.53483	5.62127
806	807	5.53868	5.62538
807	808	5.5425	5.62945
808	809	5.54628	5.63348
809	810	5.55002	5.63747
810	811	5.55372	5.64142
811	812	5.5574	5.64535
812	813	5.56105	5.64924
813	814	5.56466	5.6531
814	815	5.56826	5.65694
815	816	5.57182	5.66074
816	817	5.57537	5.66453
817	818	5.57889	5.66829
818	819	5.58239	5.67202
819	820	5.58587	5.67574
820	821	5.58933	5.67943
821	822	5.59277	5.68311
822	823	5.59619	5.68676
823	824	5.59959	5.69039
824	825	5.60298	5.69401
825	826	5.60635	5.69761
826	827	5.60971	5.70119
827	828	5.61305	5.70475
828	829	5.61637	5.7083
829	830	5.61968	5.71183
830	831	5.62298	5.71534
831	832	5.62626	5.71884
832	833	5.62953	5.72232
833	834	5.63278	5.72579
834	835	5.63602	5.72925
835	836	5.63925	5.73268
836	837	5.64247	5.73611
837	838	5.64567	5.73952
838	839	5.64886	5.74292
839	840	5.65204	5.7463
840	841	5.65521	5.74967
841	842	5.65836	5.75302
842	843	5.66151	5.75637
843	844	5.66464	5.7597
844	845	5.66776	5.76301
845	846	5.67087	5.76631
846	847	5.67397	5.76961
847	848	5.67705	5.77288
848	849	5.68013	5.77615
849	850	5.6832	5.7794
850	851	5.68625	5.78264
851	852	5.6893	5.78587
852	853	5.69233	5.78909
853	854	5.69535	5.79229
854	855	5.69837	5.79548
855	856	5.70137	5.79867
856	857	5.70437	5.80183
857	858	5.70735	5.80499
858	859	5.71032	5.80814
859	860	5.71329	5.81127
860	861	5.71624	5.81439
861	862	5.71919	5.81751
862	863	5.72212	5.82061
863	864	5.72505	5.8237
864	865	5.72796	5.82677
865	866	5.73087	5.82984
866	867	5.73377	5.8329
867	868	5.73666	5.83595
868	869	5.73955	5.83899
869	870	5.74244	5.84203
870	871	5.74532	5.84506
871	872	5.7482	5.84809
872	873	5.75108	5.85112
873	874	5.75395	5.85414
874	875	5.75682	5.85715
875	876	5.75968	5.86015
876	877	5.76254	5.86315
877	878	5.7654	5.86615
878	879	5.76825	5.86913
879	880	5.77109	5.87211
880	881	5.77393	5.87508
881	882	5.77676	5.87804
882	883	5.77958	5.881
883	884	5.7824	5.88395
884	885	5.78521	5.88689
885	886	5.78802	5.88982
886	887	5.79082	5.89274
887	888	5.79361	5.89565
888	889	5.79639	5.89855
889	890	5.79917	5.90145
890	891	5.80194	5.90434
891	892	5.8047	5.90722
892	893	5.80746	5.91008
893	894	5.81021	5.91295
894	895	5.81295	5.9158
895	896	5.81569	5.91864
896	897	5.81841	5.92147
897	898	5.82113	5.9243
898	899	5.82395	5.92718
899	900	5.82675	5.93005
900	901	5.82953	5.9329
901	902	5.8323	5.93574
902	903	5.83506	5.93856
903	904	5.83778	5.94132
904	905	5.84049	5.94407
905	906	5.84319	5.94682
906	907	5.84589	5.94955
907	908	5.84858	5.95228
908	909	5.85127	5.95501
909	910	5.85396	5.95772
910	911	5.85676	5.96052
911	912	5.85955	5.9633
912	913	5.86232	5.96606
913	914	5.86507	5.9688
914	915	5.86782	5.97153
915	916	5.87055	5.97425
916	917	5.87328	5.97696
917	918	5.87599	5.97966
918	919	5.8787	5.98235
919	920	5.88139	5.98504
920	921	5.88408	5.98773
921	922	5.88676	5.99042
922	923	5.88946	5.99311
923	924	5.89216	5.9958
924	925	5.89486	5.99849
925	926	5.89758	6.00119
926	927	5.9003	6.00388
927	928	5.90303	6.00657
928	929	5.90577	6.00927
929	930	5.90851	6.01196
930	931	5.91126	6.01466
931	932	5.91402	6.01735
932	933	5.91678	6.02005
933	934	5.91955	6.02274
934	935	5.92233	6.02544
935	936	5.92511	6.02813
936	937	5.92789	6.03082
937	938	5.93068	6.03352
938	939	5.93348	6.03621
939	940	5.93628	6.0389
940	941	5.93909	6.04159
941	942	5.9419	6.04428
942	943	5.94471	6.04696
943	944	5.94753	6.04965
944	945	5.95035	6.05233
945	946	5.95318	6.05502
946	947	5.95601	6.0577
947	948	5.95884	6.06038
948	949	5.96167	6.06305
949	950	5.96452	6.06573
950	951	5.96736	6.06841
951	952	5.97022	6.07109
952	953	5.97308	6.07378
953	954	5.97594	6.07646
954	955	5.97882	6.07915
955	956	5.9817	6.08184
956	957	5.9846	6.08454
957	958	5.98751	6.08725
958	959	5.99042	6.08996
959	960	5.99335	6.09268
960	961	5.99628	6.0954
961	962	5.99922	6.09812
962	963	6.00217	6.10085
963	964	6.00512	6.10358
964	965	6.00808	6.10631
965	966	6.01129	6.10924
966	967	6.01476	6.1123
967	968	6.0182	6.11533
968	969	6.0216	6.11831
969	970	6.02486	6.12109
970	971	6.02852	6.12428
971	972	6.03218	6.12746
972	973	6.0358	6.13061
973	974	6.0394	6.13372
974	975	6.04297	6.1368
975	976	6.04651	6.13985
